Exchange Date,Open,Return,Missing
16-Nov-2020,15897.42,-1.58%,
03-Oct-2019,8234.5,-1.58%,
13-Feb-2022,41883.62,-1.58%,
18-Aug-2019,10185.5,-1.58%,
07-May-2021,55965.29,-1.57%,
25-Jan-2021,31875.68,-1.57%,
27-Jun-2018,6169.91,-1.54%,
07-Feb-2019,3365.27,-1.54%,
13-Nov-2021,64084.14,-1.54%,
30-Sep-2021,41133.25,-1.53%,
08-Jan-2019,4001,-1.53%,
07-Sep-2019,10358,-1.52%,
05-Aug-2020,11215.85,-1.51%,
20-Jan-2022,41745.5,-1.50%,
17-Jan-2020,8685.75,-1.50%,
11-Feb-2023,21531.67,-1.49%,
04-Jun-2019,8550.8,-1.49%,
16-Apr-2020,6766.99,-1.48%,
16-Jun-2022,21635.49,-1.46%,
26-Feb-2019,3805.52,-1.46%,
26-Feb-2021,48037.41,-1.45%,
17-May-2023,26956,-1.45%,
23-Jul-2019,10324.5,-1.45%,
24-Oct-2020,12937.63,-1.45%,
03-Nov-2022,20178.5,-1.44%,
07-Aug-2018,6916.66,-1.43%,
05-Feb-2020,9136.87,-1.43%,
04-May-2022,37762.56,-1.43%,
15-May-2022,29342.02,-1.42%,
03-May-2021,56898.6,-1.42%,
03-Nov-2020,13626.75,-1.42%,
07-Oct-2019,7988.69,-1.42%,
09-Sep-2020,10009.23,-1.41%,
15-Sep-2022,19949,-1.41%,
16-Nov-2018,5468.88,-1.38%,
11-Sep-2019,10076,-1.37%,
08-Oct-2021,54173.86,-1.37%,
29-Apr-2021,54443.9,-1.36%,
18-May-2021,44795.2,-1.35%,
26-Feb-2018,9370.76,-1.35%,
22-Jul-2019,10476,-1.33%,
25-Oct-2021,60308.1,-1.33%,
14-Nov-2022,16524.75,-1.33%,
15-Apr-2021,62382.46,-1.33%,
29-Jun-2018,6041.9,-1.31%,
12-Dec-2020,18109.47,-1.31%,
01-Nov-2022,20399,-1.31%,
20-Nov-2019,8108.25,-1.31%,
11-Oct-2020,10893.53,-1.30%,
18-Mar-2022,40718.25,-1.30%,
20-Oct-2019,7843.99,-1.29%,
10-Dec-2020,18523.04,-1.29%,
23-Aug-2021,48393.74,-1.28%,
22-May-2018,8403.98,-1.28%,
18-Jun-2020,9370.54,-1.28%,
28-Feb-2022,38973.06,-1.28%,
11-Oct-2022,19240,-1.28%,
29-Nov-2021,53922.43,-1.26%,
29-Mar-2018,7894.68,-1.25%,
10-Nov-2018,6332.23,-1.25%,
28-Jun-2022,20897.75,-1.25%,
10-Sep-2019,10216.03,-1.24%,
27-Nov-2019,7114.5,-1.24%,
10-Jul-2018,6661.68,-1.24%,
12-Mar-2020,7896,-1.23%,
10-Nov-2020,15391.5,-1.23%,
17-May-2022,29889.1,-1.23%,
18-May-2018,8194.31,-1.23%,
12-Mar-2022,38849.26,-1.21%,
12-Oct-2022,19006.46,-1.21%,
23-Jan-2023,22925,-1.21%,
11-Sep-2018,6298.68,-1.20%,
01-May-2020,8822.69,-1.20%,
06-Apr-2018,6717.54,-1.20%,
27-Nov-2022,16449,-1.20%,
21-Sep-2019,10131.68,-1.20%,
18-Feb-2020,9640.01,-1.19%,
01-Feb-2018,9961.81,-1.19%,
19-Oct-2019,7946.75,-1.19%,
01-Nov-2020,13498.46,-1.19%,
28-Aug-2019,10139.5,-1.19%,
30-Aug-2019,9549.9,-1.18%,
08-Nov-2019,9205.65,-1.17%,
14-Oct-2020,11429.82,-1.17%,
17-Jul-2020,9102.7,-1.17%,
30-Mar-2022,47410.42,-1.16%,
03-Nov-2019,9212.5,-1.16%,
02-Jun-2018,7444.98,-1.15%,
26-Sep-2019,8519.38,-1.14%,
09-Feb-2023,22957,-1.14%,
31-Oct-2021,61669.21,-1.14%,
31-Oct-2022,20668.75,-1.13%,
20-Apr-2020,7159.5,-1.13%,
15-Nov-2019,8653,-1.12%,
08-Feb-2020,9611.5,-1.12%,
12-Mar-2019,3942.3,-1.12%,
09-Nov-2018,6412.6,-1.11%,
02-Aug-2021,41073.64,-1.11%,
27-Jun-2022,21162.87,-1.09%,
13-Mar-2021,56953.11,-1.09%,
09-Oct-2019,8128,-1.09%,
27-Dec-2021,50269.73,-1.08%,
16-Mar-2023,24375.25,-1.08%,
21-Dec-2020,23745.25,-1.08%,
15-Oct-2022,19175,-1.08%,
28-Feb-2019,3748.86,-1.08%,
20-Feb-2023,24356,-1.08%,
18-Jul-2022,20971.25,-1.08%,
25-Sep-2018,6623.91,-1.07%,
07-Jan-2022,43110.11,-1.07%,
02-May-2022,37930.02,-1.07%,
28-Sep-2021,42690.97,-1.06%,
22-May-2023,26881,-1.05%,
29-Dec-2022,16516,-1.05%,
30-Sep-2018,6573.8,-1.05%,
06-Sep-2019,10518,-1.04%,
31-Aug-2022,19977,-1.04%,
02-Jun-2021,36318.98,-1.04%,
03-Apr-2023,28172,-1.04%,
21-Jan-2022,41314.47,-1.03%,
30-Sep-2020,10756.75,-1.03%,
02-Apr-2018,6828.43,-1.03%,
02-Dec-2022,16929.25,-1.02%,
31-Jan-2022,38001.55,-1.01%,
20-Jul-2019,10509.35,-1.01%,
31-Aug-2019,9453.1,-1.01%,
01-Mar-2023,23147,-1.01%,
22-Apr-2019,5263.5,-1.01%,
06-Apr-2020,6802.75,-1.00%,
14-Jul-2021,32508.68,-1.00%,
21-May-2020,9587.25,-0.99%,
10-Mar-2019,3890.05,-0.99%,
08-Dec-2022,16826.5,-0.99%,
04-Apr-2021,58096.08,-0.98%,
27-May-2022,29456.75,-0.98%,
10-Jul-2022,21286.89,-0.98%,
19-Aug-2021,44536.34,-0.98%,
03-Feb-2023,23452,-0.98%,
25-Dec-2019,7247.5,-0.97%,
29-Feb-2020,8666.05,-0.97%,
23-Nov-2020,18490.89,-0.97%,
08-May-2018,9422.72,-0.97%,
24-Feb-2022,37535.15,-0.96%,
07-May-2022,36062.57,-0.95%,
22-Mar-2019,3973.89,-0.95%,
06-Oct-2019,8103.5,-0.94%,
11-Dec-2020,18349.75,-0.94%,
21-Jul-2018,7346.94,-0.93%,
06-Apr-2022,45876.42,-0.92%,
07-Apr-2021,58236.83,-0.92%,
07-Mar-2021,48593.8,-0.91%,
02-Jun-2023,26871,-0.90%,
18-Apr-2018,7918.25,-0.90%,
26-Mar-2023,27380.75,-0.90%,
02-Jun-2019,8462,-0.89%,
03-Jan-2021,28987.6,-0.89%,
19-Oct-2018,6387.16,-0.89%,
03-Jul-2022,19231.69,-0.88%,
20-Oct-2022,19195,-0.88%,
11-Jan-2022,41718.17,-0.88%,
06-Nov-2019,9355.75,-0.88%,
07-Mar-2022,39017.5,-0.87%,
10-Apr-2022,42417.68,-0.87%,
19-Oct-2022,19366,-0.87%,
29-Sep-2018,6643.33,-0.87%,
29-May-2018,7224,-0.86%,
09-Jun-2019,7973.77,-0.86%,
15-Nov-2022,16382.52,-0.86%,
21-Oct-2022,19030,-0.86%,
15-Aug-2022,24288,-0.86%,
31-Jul-2018,8144.29,-0.86%,
16-Aug-2022,24080.5,-0.85%,
02-Oct-2020,10611.25,-0.85%,
08-Sep-2020,10152.49,-0.85%,
21-Nov-2022,16526,-0.85%,
04-Sep-2022,19750,-0.85%,
27-Sep-2020,10632.4,-0.84%,
26-Oct-2020,13017,-0.84%,
28-Dec-2022,16691,-0.84%,
31-Mar-2023,28154.5,-0.84%,
15-Oct-2019,8360.5,-0.84%,
03-Jul-2021,33132,-0.83%,
15-Nov-2020,16153.31,-0.83%,
08-May-2022,35766.75,-0.82%,
04-Oct-2019,8167,-0.82%,
29-Apr-2019,5159.67,-0.81%,
12-Sep-2018,6247.92,-0.81%,
23-Jan-2020,8644,-0.80%,
13-May-2023,26792,-0.80%,
12-Feb-2018,8211.37,-0.80%,
12-Dec-2018,3370.3,-0.79%,
08-Dec-2019,7372,-0.79%,
19-Feb-2018,10753.59,-0.79%,
05-Sep-2019,10628.5,-0.78%,
24-Jan-2019,3543.38,-0.78%,
28-Jun-2018,6122.34,-0.77%,
16-Aug-2021,46305.74,-0.77%,
29-Apr-2023,29404,-0.77%,
25-Mar-2021,54015.95,-0.77%,
27-Dec-2019,7181.29,-0.77%,
20-Dec-2022,16586.08,-0.75%,
16-Jul-2020,9210.33,-0.75%,
03-Oct-2020,10531.93,-0.75%,
20-Apr-2019,5268.82,-0.75%,
30-Dec-2021,47218.65,-0.75%,
