date,error,tweet count,token count
2022-06-27,,28,1603
2022-07-31,,30,1594
2020-12-31,,28,1593
2022-07-05,,30,1590
2020-03-04,,26,1586
2020-09-15,,25,1586
2020-06-18,,28,1585
2020-07-13,,28,1583
2020-06-30,,25,1583
2020-04-22,,23,1581
2022-12-24,,27,1581
2022-06-17,,31,1579
2018-02-09,,31,1579
2022-04-30,,29,1578
2020-07-22,,27,1578
2019-08-20,,38,1578
2019-01-10,,24,1576
2021-11-07,,25,1572
2022-10-30,,27,1562
2020-04-06,,26,1560
2021-05-02,,23,1557
2020-03-03,,26,1557
2021-11-28,,28,1554
2021-10-16,,31,1549
2018-12-31,,17,1549
2020-08-14,,24,1536
2020-11-19,,26,1529
2023-01-01,,25,1518
2022-09-16,,27,1515
2021-04-25,,20,1514
2020-09-25,,25,1510
2021-01-23,,26,1507
2020-08-13,,24,1505
2020-07-24,,24,1505
2020-10-16,,25,1503
2020-08-27,,24,1503
2022-11-05,,22,1501
2021-09-04,,31,1496
2020-02-27,,27,1496
2021-11-20,,28,1494
2020-11-23,,27,1490
2020-08-10,,25,1488
2020-10-09,,25,1488
2021-07-10,,27,1487
2018-04-10,,25,1478
2020-06-11,,27,1475
2018-01-30,,28,1474
2023-02-26,,28,1471
2021-09-05,,27,1470
2020-06-01,,24,1463
2020-09-18,,29,1462
2022-01-27,,30,1462
2020-04-30,,24,1460
2022-07-07,,28,1457
2020-08-06,,24,1455
2020-12-14,,21,1454
2020-12-23,,20,1449
2022-05-27,,27,1444
2020-09-23,,27,1439
2020-04-20,,21,1438
2022-06-16,,29,1438
2020-09-14,,24,1436
2020-11-10,,23,1434
2021-03-28,,24,1432
2020-10-01,,22,1430
2023-01-02,,29,1427
2022-08-28,,25,1422
2020-09-21,,27,1417
2022-05-21,,24,1417
2020-06-05,,22,1416
2018-10-22,,22,1414
2023-06-11,,23,1413
2018-02-14,,26,1411
2020-07-03,,25,1410
2023-03-12,,21,1408
2018-02-26,,24,1407
2022-02-06,,31,1403
2021-09-25,,24,1399
2020-04-09,,22,1398
2020-08-20,,24,1397
2020-09-16,,25,1396
2020-09-22,,26,1394
2020-02-12,,18,1393
2020-12-06,,21,1392
2021-11-13,,29,1390
2022-02-12,,27,1388
2020-09-10,,27,1385
2020-02-24,,17,1385
2022-11-26,,25,1384
2020-03-18,,18,1382
2021-11-06,,23,1382
2020-03-26,,23,1381
2020-06-19,,24,1381
2021-12-24,,26,1378
2020-08-17,,24,1377
2020-07-14,,25,1374
2022-12-04,,26,1374
2020-04-07,,26,1373
2022-12-10,,26,1371
2021-07-04,,25,1370
2020-06-29,,22,1366
2022-05-30,,28,1366
2020-02-26,,18,1365
2020-03-11,,22,1364
2021-06-26,,25,1363
2018-01-31,,27,1362
2020-04-16,,24,1359
2020-08-25,,22,1358
2018-11-27,,25,1354
2021-05-16,,22,1347
2020-04-21,,22,1341
2020-08-26,,22,1340
2022-11-27,,26,1340
2021-04-17,,17,1336
2021-06-27,,25,1332
